GeneID,DMSO_24h_r1,DMSO_24h_r2,DMSO_24h_r3,dTAG13_24h_r1,dTAG13_24h_r2,dTAG13_24h_r3
A1BG,35,32,25,40,42,39
A2M,5,7,9,41,38,34
A4GALT,142,123,74,329,88,117
AACS,1026,1032,1119,1209,1429,1135
AAED1,611,598,670,756,745,599
AAGAB,2124,2222,2410,2471,2467,2058
AAK1,881,1005,1014,925,1337,1054
AAMDC,233,240,240,311,346,309
AAMP,3726,3760,3901,3396,3428,3205
AAR2,338,341,321,137,129,351
AARD,11,2,4,11,8,13
AARS,3659,4105,4144,3165,1340,2057
AARS2,1246,1293,1405,1178,1323,1194
AARSD1,847,828,820,921,891,731
AASDH,631,669,779,741,934,708
AASDHPPT,3069,3514,3535,3329,3418,2885
AASS,50,38,35,35,44,29
AATF,3372,3535,3580,3464,2938,2775
AATK,15,16,14,16,11,8
AB019441.29,11,7,8,14,16,2
ABAT,562,621,639,874,973,819
ABC13-47488600E17.1,12,8,6,6,7,17
ABC7-42404400C24.1,205,149,198,205,218,222
ABCA1,71,61,83,150,180,162
ABCA10,30,41,35,71,65,59
ABCA11P,27,26,32,35,42,40
ABCA13,5,11,12,12,27,14
ABCA17P,23,32,38,22,19,13
ABCA2,6181,6084,6300,4173,4833,4318
ABCA3,20,17,28,32,29,29
ABCA5,388,415,423,496,573,482
ABCA6,21,31,25,51,65,63
ABCA7,2414,2361,2382,3483,3843,3696
ABCA8,17,5,3,11,9,10
ABCA9,17,27,24,27,33,27
ABCB10,2958,2925,3172,3001,3079,2691
ABCB5,14,7,9,12,13,17
ABCB6,66,62,60,56,73,61
ABCB7,1153,1033,980,1348,1186,1269
ABCB8,1452,1419,1444,1387,1455,1378
ABCB9,170,155,186,185,197,180
ABCC1,1045,956,995,924,1231,987
ABCC10,1527,1440,1550,1559,1744,1580
ABCC3,12,8,13,13,10,7
ABCC4,52,60,17,48,56,30
ABCC5,1186,1150,1249,1301,1558,1403
ABCC9,147,152,137,194,220,170
ABCD1,1943,1862,1914,1591,1681,1510
ABCD2,956,1020,1085,1394,1545,1291
ABCD3,1578,1725,1769,1582,1738,1403
ABCD4,1043,1052,1085,1270,1309,1120
ABCE1,9909,10254,11056,9291,9896,8304
ABCF1,3769,3767,3952,3835,3809,3255
ABCF2,3478,3670,3714,3145,3294,2842
ABCF3,1480,1472,1577,1507,1565,1465
ABCG1,18,10,19,30,21,12
ABCG8,2,5,14,10,7,14
ABHD1,18,24,41,34,38,21
ABHD10,1483,1590,1641,1743,1684,1455
ABHD11,796,791,838,790,793,676
ABHD12,1413,1494,1488,2181,2364,1996
ABHD12B,14,15,21,17,28,14
ABHD13,1093,1182,1202,1233,1351,1084
ABHD14A,775,773,737,872,848,649
ABHD14A-ACY1,897,896,694,878,751,813
ABHD14B,3036,3037,3035,3769,3711,3128
ABHD15,5250,5462,5552,3947,4134,3557
ABHD16A,1038,1061,1053,1184,1184,1060
ABHD17A,4626,4539,4673,5005,5105,4632
ABHD17B,991,1066,1037,997,1124,843
ABHD17C,36,40,38,36,46,33
ABHD18,1080,1111,1229,1113,1235,1177
ABHD2,3524,3621,3831,3979,5024,4148
ABHD3,1405,1414,1554,1665,1633,1365
ABHD4,90,104,106,179,157,164
ABHD5,210,162,166,201,215,206
ABHD6,62,67,73,63,72,66
ABHD8,75,70,79,156,163,132
ABI1,2523,2690,2781,3221,3565,2683
ABI2,404,382,393,526,593,476
ABI3,38,37,48,45,56,74
ABL1,3420,3288,3462,3179,3622,3155
ABL2,802,797,798,791,1057,806
ABR,5484,5688,5780,6437,7181,6263
ABRACL,2617,2672,2817,3465,3253,2727
ABTB1,298,313,305,548,518,500
ABTB2,118,122,108,161,152,132
AC000041.8,11,9,0,0,31,39
AC000089.3,14,10,13,25,37,15
AC000095.9,9,10,5,20,12,16
AC002310.11,26,0,29,18,0,0
AC002398.9,6,18,0,18,35,17
AC003005.4,55,70,56,56,77,44
AC003006.7,15,13,15,8,9,10
AC004076.7,21,0,0,36,11,9
AC004076.9,3,6,5,12,7,10
AC004381.6,762,762,836,926,910,729
AC004381.8,19,24,10,23,23,28
AC004556.1,342,169,216,287,546,315
AC004893.11,191,212,140,190,236,234
AC004951.5,42,48,42,55,61,42
AC004967.7,58,54,50,54,51,45
AC004980.7,14,13,6,15,12,15
AC004980.9,32,35,34,46,42,30
AC004985.12,13,13,15,12,16,14
AC005077.14,14,20,16,17,27,19
AC005154.7,24,29,28,41,37,40
AC005943.2,222,393,440,409,350,336
AC006011.4,0,32,9,50,31,16
AC006014.7,66,55,62,48,56,44
AC006033.22,26,19,13,33,30,16
AC006116.22,14,12,15,23,35,27
AC006486.9,505,428,585,477,509,454
AC006538.4,353,314,355,324,298,266
AC006978.6,163,155,166,266,287,257
AC007040.11,8,8,6,5,14,4
AC007192.4,1400,1080,1456,1635,1888,1997
AC007325.1,7,1,4,5,4,13
AC007875.2,9,7,10,9,16,12
AC007881.4,13,12,0,33,40,24
AC007969.5,16,6,15,2,0,9
AC008132.13,8,7,11,17,11,11
AC008746.10,3,10,3,6,9,10
AC009120.3,16,13,17,12,30,18
AC009133.22,439,390,389,442,499,444
AC009133.23,173,216,180,154,0,116
AC009245.3,1,3,5,21,17,10
AC009487.6,13,14,0,4,14,0
AC009950.1,94,119,106,158,236,153
AC009963.4,14,16,16,0,8,0
AC009967.3,8,17,19,12,21,16
AC010547.9,3,10,18,3,3,0
AC011043.1,683,686,734,848,776,741
AC011330.5,93,166,115,0,72,130
AC011515.2,19,27,15,57,47,40
AC012314.3,50,29,23,0,0,61
AC012454.4,11,8,8,10,7,11
AC013264.1,221,334,300,535,689,388
AC013461.1,4359,4520,4736,4281,5035,4140
AC015688.3,151,226,260,220,198,205
AC015691.13,9,9,12,9,16,15
AC015849.16,25,21,20,11,28,15
AC016629.7,12,9,11,10,13,14
AC016700.6,0,74,95,2753,2496,119
AC016734.2,153,203,187,217,182,164
AC018755.16,36,28,31,41,43,31
AC020594.5,17,14,13,23,12,10
AC024560.3,59,65,70,77,95,82
AC024592.12,19,16,13,14,17,10
AC025335.1,674,731,708,704,786,605
AC026150.6,0,4,0,11,3,6
AC026348.1,370,355,374,330,401,342
AC034198.7,11,6,0,11,9,7
AC055876.1,0,0,0,0,0,13
AC068134.10,33,20,39,39,41,30
AC068533.7,43,26,45,70,65,25
AC069368.3,58,35,57,47,68,52
AC073065.3,5,12,15,9,21,10
AC074019.2,6,7,17,6,14,5
AC074141.3,38,45,36,46,49,48
AC079250.1,2,4,11,39,12,2
AC083899.3,303,294,265,395,306,250
AC090094.1,139,191,147,0,246,249
AC092835.2,71,58,72,69,78,61
AC092933.4,12,6,13,12,8,8
AC093323.3,586,703,721,746,735,587
AC093616.4,21,26,33,68,50,40
AC093642.5,13,14,10,13,16,8
AC093838.4,376,403,420,457,451,386
AC104534.3,801,598,489,941,949,570
AC105339.1,7,11,5,6,11,11
AC108448.2,31,29,24,35,29,23
AC108463.2,9,3,11,15,8,10
AC110926.4,190,143,179,184,165,118
AC116366.6,15,11,14,14,28,19
AC125232.1,213,283,219,181,247,209
AC127070.1,27,52,44,27,48,39
AC136289.1,7,8,11,11,14,13
AC138649.1,34,44,37,8,20,0
AC138969.4,2855,2830,3168,2304,2774,2612
AC141586.5,12,35,21,5,21,27
AC144530.1,4,3,6,18,13,6
AC144568.4,15,16,20,21,25,16
AC145212.1,104,60,73,78,53,94
AC145212.2,24,35,55,44,58,40
AC240274.1,128,183,123,114,67,96
AC244489.1,441,342,532,288,306,528
AC255093.2,7,0,8,12,11,7
ACAA1,1508,1499,1504,1986,1858,1781
ACAA2,1476,1500,1513,1644,1553,1288
ACACA,6155,6648,6938,5394,6899,5719
ACACB,439,426,441,507,647,481
ACAD10,1361,1463,1497,1634,1790,1492
ACAD11,401,385,401,506,548,424
ACAD8,1012,1012,1077,1185,1291,992
ACAD9,1096,1037,1192,1060,886,862
ACADM,3398,3550,3637,3735,4068,3847
ACADS,899,841,840,976,865,825
ACADSB,1836,1863,1965,1715,1993,1482
ACADVL,10015,10243,10362,10480,10395,9473
ACAP2,3220,3302,3416,3542,4155,3331
ACAP3,2648,2506,2633,2226,2320,2196
ACAT1,294,273,322,319,345,246
ACAT2,2897,2879,3144,2893,2781,2431
ACBD3,1201,1314,1314,1421,1534,1208
ACBD4,144,137,141,164,187,161
ACBD5,916,790,872,718,1012,904
ACBD6,1033,1054,1077,1173,1179,969
ACBD7,50,44,43,48,68,36
ACCS,853,814,882,1120,1316,1097
ACD,725,568,686,544,651,616
ACE,15,16,21,28,26,21
ACER2,94,100,109,84,120,89
ACER3,1195,1204,1240,1784,1697,1431
ACIN1,9064,8920,9659,9445,10454,8830
ACKR2,32,23,22,46,33,24
ACKR3,20,19,33,18,18,17
ACLY,13656,14140,14968,11938,13522,11527
ACO1,1176,1260,1246,1355,1366,1158
ACO2,3551,3443,3327,3727,3174,2748
ACOT1,49,58,50,73,42,41
ACOT11,838,828,875,911,948,887
ACOT13,1223,1246,1304,1392,1284,1088
ACOT2,897,960,925,1001,994,819
ACOT4,440,443,471,375,375,324
ACOT7,2318,2280,2400,2091,1963,1802
ACOT8,260,350,358,316,344,305
ACOT9,680,613,710,891,880,742
ACOX1,1615,1766,1825,2040,2170,1886
ACOX3,686,729,730,586,627,558
ACP1,2903,2955,3113,3591,3418,2882
ACP2,442,481,505,617,713,559
ACP6,16,27,16,10,27,22
ACP7,14,16,5,9,20,8
ACPP,1126,1111,1109,1618,1849,1549
ACRBP,278,280,324,405,437,313
ACRC,95,75,104,122,112,125
ACSBG1,31,28,23,25,29,24
ACSBG2,11,14,14,6,11,9
ACSF2,276,323,296,595,614,481
ACSF3,1380,1409,1448,1374,1462,1344
ACSL1,2398,2516,2371,2339,2429,1857
ACSL3,2397,2698,2579,2397,2733,2394
ACSL4,1418,1344,1171,1262,1992,1372
ACSL5,1385,1455,1487,1647,1794,1487
ACSL6,0,8,3,13,8,10
ACSM1,15,10,11,31,21,27
ACSM2A,11,5,12,9,2,10
ACSM2B,13,11,17,20,42,16
ACSM3,731,748,807,877,892,686
ACSM5,6,11,7,10,17,11
ACSS1,1320,1325,1402,1527,1521,1344
ACSS2,469,489,542,730,707,640
ACTA1,9,16,12,8,12,12
ACTA2,24,33,36,40,33,30
ACTB,58042,56453,54682,74872,73894,56790
ACTBP13,10,20,10,8,12,9
ACTG1P17,43,21,38,36,38,33
ACTG1P2,9,4,14,12,14,6
ACTG1P20,12,6,8,9,7,15
ACTG1P9,18,15,14,28,25,10
ACTL6A,4833,5082,5225,4701,4487,3924
ACTL8,170,175,195,62,69,63
ACTN1,8310,8101,9751,7350,9455,7653
ACTN4,14024,14274,14898,14734,16011,14029
ACTR10,1330,1426,1454,1690,1605,1320
ACTR1A,3085,3074,3178,3387,3432,2949
ACTR2,36806,38986,40751,42597,45823,37064
ACTR3,15550,16109,16893,18417,18345,15120
ACTR3B,307,350,345,290,313,268
ACTR3C,25,12,20,22,24,14
